Original_query,Entities in query,Expanded query
"allergic reaction to coumadin, treatment","allergic reaction , coumadin, treatment","coumadin allergic reaction treatment macrolide sulphonamide mediated macrolides sulfonamides mediator brand of benfluorex hydrochloride adverse effect adverse effect nos hypersensitivity allergy, drug photosensitivity penicillin allergic reaction allergic reaction to drug allergic angioedema angiooedema antibiotic allergic reaction adverse reactions adverse effects drug allergy photosensitivity of skin allergic reaction to antibiotics coumadin use allergic reaction, ctcae no treatment indicated emotional hypersensitivity photosensitivity, ctcae no treatment for diabetes using therapeutic treating not use of therapeutic aspects negation therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment cancer therapeutic procedure biomaterial treatment treatment study treatment epoch monitor patient treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension patient monitoring "
"urinary tract infection, criteria for treatment and admission","urinary tract infection, criteria, treatment , admission","criteria admission urinary tract infection treatment evaluation hospital admission admission activity patient admission admission care admission procedure voluntary admission admission for treatment admission by anesthetist admission by radiotherapist admission by gp admission by pediatrician admission by neonatologist admission by gynecologist admission by obstetrician admission by pathologist admission by hematologist admission by neuropathologist admission by physician admission by cardiologist admission by dermatologist treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension evaluation procedure neonatal urinary tract infection acute urinary tract infection chronic urinary tract infection recurrent urinary tract infection lower urinary tract infectious disease postoperative urinary tract infection coliform urinary tract infection proteus urinary tract infection bacterial urinary infection trichomonas nos trichomonas infections finding asymptomatic no treatment indicated experimental finding urinary tract infection, ctcae no treatment for diabetes exclusion criteria audit delivery due to refractory treated therapeutic treating not transfer technique unresponsive to treatment therapeutic aspects negation therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment obstetric delivery cancer therapeutic procedure search criteria not meeting criteria pre-admission biomaterial treatment audit object pre-admission encounter treatment study treatment epoch"
"infiltrative small bowel processes, information about small bowel lymphoma and heavy alpha chain disease","Infiltrative , small bowel processes, information , small bowel lymphoma , heavy alpha chain disease","infiltrative information heavy alpha chain disease small bowel lymphoma small bowel processes infiltrative tumor margin restrictive cardiomyopathy infiltrative growth pattern diffusely infiltrative infiltration lung major infiltrative tumour configuration, macroscopic remission no result restrictive cardiomyopathy, ctcae pulmonary infiltrate severe (severity modifier infiltrative tumor configuration, macroscopic disease remission error severity - information expanded yes/no indicator confidentiality intramuscular lipoma infiltrative type of gastric tumor infiltrative duodenal tumor infiltrative colonic tumor tumor of the nipple basal cell carcinoma immunoproliferative small intestinal disease alpha-heavy chain disease small intestinal lymphoma hodgkin's lymphoma of small intestine small intestinal mucosa-associated lymphoid tissue lymphoma nipple neoplasm experimental organism basal cell carcinoma skin basal cell carcinoma cancer remission small intestinal hodgkin lymphoma act acknowledgement detail type - information confidential information information system tissue type code - basal cell carcinoma nci ctep sdc basal cell carcinoma sub-category terminology asthma control test questionnaire gdc ajcc clinical t terminology information systems secondary to nodular minor misinformation without nodular (qualifier value minor (value control aspects true control status dilated cardiomyopathy available information storage infiltration route of drug administration spread by direct extension dilated cardiomyopathy pathway basal cell carcinoma pathway control function availability of data storage retrieval retrieval - action "
preventive health care for the adult patient,"preventive health care , adult , patient","patient adult preventive health care *^patient inpatient person, mentally ill outpatient patients mentally ill persons outpatients middle aged adult, young young adult legal adult elderly population group woman offender elderly (population group old age offenders patient history physical inform patient care patient admission patient advocacy service, preventive health healthcare preventive health care service public health general quality of healthcare quality of health care physical examination reporting patient care - patient profile query reason inpatient encounter preventive health services public health service general medical service health care quality control"
"iron deficiency anemia, which test is best","iron deficiency anemia,  test ","test iron deficiency anemia laboratory procedure tests blood products laboratory testing coombs test test, hematologic substance abuse detection heidelberg test stool bilirubin measurement treponema pallidum antibody measurement capillary fragility measurement laboratory procedures hematologic tests plan treatment deficient exam screening due to cause dietary intake planned therapeutic aspects treating aspects of disease screening etiology aspects dietary route of administration qualifier value test name test, pre-post visit 1+ poor tests (qualifier value treatment plan pre-post tests visit name 1+ score, who international metastatic renal cell carcinoma database consortium (imdc test result iron absorption laboratory test finding iron absorption level result test - temporal region iron-refractory iron deficiency anaemia iron deficiency anaemia nos achlorhydric anemia iron deficiency without anaemia iron deficiency anemia of pregnancy chronic iron deficiency anemia deficiency iron treatment iron deficiency anemia in children iron deficiency anemia in mother complicating childbirth acquired iron deficiency anemia due to decreased absorption iron deficiency anemia due to inadequate dietary iron intake infantile neuroaxonal dystrophy iron-refractory iron deficiency anemia iron deficiency without anemia malnutrition "
"scheurmann's disease, treatment","scheurmann's disease, treatment",scheurmann's disease treatment scheuermanns disease scheuermann's disease therapeutic treating not therapeutic aspects negation therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment cancer therapeutic procedure biomaterial treatment treatment study treatment epoch treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension 
"sigmoidoscopy in preventive care, whether the reccommended frequency of sigmoidoscopy is effective and sensitive in detecting cancer","sigmoidoscopy , preventive care, frequency ,sigmoidoscopy , effective , sensitive , cancer","sensitive sigmoidoscopy cancer effective preventive care frequency hypersensitivity intolerant of heat infection responsive procedure method due to result use perform not use of social therapeutic participation fails obtain causes depletion based procedure (set of actions techniques utilization qualifier usage performed negation prophylactic behavior failed etiology aspects basis - conceptual entity upon - dosing instruction fragment stimulus sensitivity touch highly sensitive hormone normal cytology ord flexible actual positive non-compliant routine appropriate scheduling developmental level tactile hormone (disposition cellular aspects of effectiveness positive charge preventive intent non-compliance scheduled - procedure status developmental (qualifier value levels (qualifier value flexible fibreoptic sigmoidoscopy intraoperative sigmoidoscopy sigmoidoscopy with biopsy rigid sigmoidoscopy colonoscopy sigmoidoscopy through artificial stoma flexible sigmoidoscopy endoscopy sigmoidoscopy (procedure flexible fiberoptic sigmoidoscopy positron-emission tomography endoscopy (procedure consent type - sigmoidoscopy referral for sigmoidoscopy tattooing encounter service, preventive health foot care preventive health care social care documented healthcare preventive health care service foot care education public health general preventive services counseling self care education visit quality of healthcare quality of health care physical medical procedure consent type - colonoscopy patient visit preventive health services public health service general medical service preventive service healthcare personal care education scheduling (procedure health care quality control breast cancer nec malignant neoplasm malignant neoplasm, primary malignant neoplasm of urinary bladder bladder neoplasm brain neoplasm malignant neoplasm of breast carcinoma in situ malignant tumour of colon malignant neoplasm of endometrium malignant neoplasm of larynx rectal carcinoma malignant neoplasm of skin malignant neoplasm of thyroid bronchogenic carcinoma merkel cell carcinoma squamous cell carcinoma malignant tumour of cervix colorectal carcinoma colorectal neoplasm malignant neoplasms childhood breast carcinoma carcinoma, neuroendocrine malignant childhood neoplasm brain neoplasms childhood brain neoplasm adult brain neoplasm malignant melanoma of skin of breast malignant tumor of colon adenocarcinoma of rectum squamous cell carcinoma - category malignant tumor of cervix colorectal neoplasms cancer genus specialty type - cancer medicine, preventive general medicine physical therapy (field preventive medicine specialty public health medicine (field general practice (field 2y past stdy qn point in time /day frequencies temporal pattern periodicity high frequency low frequency frequency response stimulus frequency tone frequency in the past study duration observation start day every night. timepoint time (foundation metadata concept daily per day with frequency frequencies (time pattern frequency of responses % abnormal % normal len % positive 0% catheter working length rate more 30% product spatial frequency kind of quantity - frequency statistical frequency signal frequency coital frequency gene frequency frequency distribution noise equivalent count rate percent of abnormal cells percent normal mean percent of normal data type - point in time percent positive cells positive number feet, unit of measurement international foot survey foot foot british multiplicative product phenx study report breathing medication level of care cdisc sdtm frequency terminology how often gdc treatment outcome terminology cdisc sdtm procedure terminology abnormal reference range how often felt normal question methods gdc prior treatment terminology documents use - dosing instruction imperative breathing distress question medication - hl7 publishing domain medications hl7publishingsubsection <practice> level of care - location characteristic id document completion status - documented public health domain safety reporting documentation visit name on (qualifier value "
association of neuroleptics and peripheral neuropathy,"association, neuroleptics , peripheral neuropathy ","association peripheral neuropathy neuroleptics mental association association learning thought association response response (communication relationship combined unspecified {nos} related toxicity positive relationships not otherwise specified toxicity aspects positive charge chemical association relationship by association vater association mvrcs association charge syndrome peripheral nervous system disease unspecified idiopathic peripheral neuropathy alcoholic neuropathy sensory neuropathy idiopathic peripheral autonomic neuropathy idiopathic neuropathy polyneuropathy in collagen vascular disease peripheral motor neuropathy ischemic peripheral neuropathy peripheral demyelinating neuropathy peripheral neuropathy, secondary paraneoplastic polyneuropathy toxic polyneuropathy hereditary peripheral neuropathy hereditary motor and sensory neuropathy with optic atrophy disorder vitamin deficiency idiopathic progressive neuropathy neuritis peripheral neuritis autonomic neuropathy due to amyloid diabetic peripheral neuropathy aids neuropathy peripheral nervous system diseases secondary peripheral neuropathy hereditary motor and sensory neuropathy with optic atrophy (disorder avitaminosis drug combination antipsychotic agent antipsychotics drug combinations antipsychotic agents "
"back pain-mri sensitivity etc., in comparison to ct of lumbar spine","back pain-mri , sensitivity ,comparison , ct of , lumbar spine ","lumbar spine back pain-mri comparison ct of bone structure of lumbar vertebra heart vertebral column lumbar spine structure thoracic outlet lumbar region finding signs and symptoms diagnostic radiography of lumbar spine computerized axial tomography mri of lumbar spine posterior exploration lumbar spine xr ekg radiology screening method x ray computed tomography xray computed tomography computerised tomography tomography service cine-ct echotomography, computer positron emission tomography emission computed tomography computerized tomography, coronal cat scan of head x-ray computed tomography positron-emission tomography radiographic imaging procedure electrocardiogram electrocardiography diagnostic radiologic examination radiology studies tomography, x-ray tomography, x-ray computerized axial computed tomography service (procedure tomography, emission-computed cat scan of brain imp nar calca gene pcyt1a gene calca wt allele choline-phosphate cytidylyltransferase pcyt1a wt allele impa1 gene cpsf4 gene doc groups standard computed tomography study file gdc prior treatment terminology documents narrative (section of report table rules - groups standard (document cdisc sdtm procedure terminology no result interracial comparison single 1 (finding experimental finding unmarried computation (action cancer testis antigen cytochrome c-t cancer/testis antigen paired comparison cost comparison impression/ interpretation of study point in time equivalent baseline multiple comparison adjustment threshold cycle paired comparisons data type - point in time equivalent weight singular "
 how to best control pain and debilitation secondary to osteoporosis in never treated advanced disease,"control pain , debilitation , secondary ,osteoporosis ,treated advanced disease ","control pain treated advanced disease osteoporosis secondary to debilitation appropriate primary marked associated control aspects true control status second suffix massive associated with pain rest rest pain use medication music procedure neoplasm frequency of pain question have pain usual severity pain pain distress question how much distress pain feel pain gdc treatment outcome terminology use - dosing instruction imperative medication - hl7 publishing domain medications cdisc sdtm procedure terminology cdisc send tumor findings results terminology pain nos no result osteoporosis, ctcae 3.0 family history encounter osteoporosis, ctcae 5.0 screening for osteoporosis cataract pain nos, ctcae pain, ctcae healthcare encounter encounter for screening for osteoporosis cataract, ctcae 5.0 control substance scientific control study control uses technique due to idiopathic drug-induced traumatic metastatic qualifier control function utilization qualifier usage techniques unknown (origin procedure (set of actions osteogenesis imperfecta post-menopausal osteoporosis osteoporosis, senile osteopenia osteoporosis with pseudoglioma fracture, osteoporotic osteoporosis risk anaemia of chronic disease secondary dentine hyperparathyroidism, secondary secondary parkinson disease myocardial diseases, secondary glaucoma, secondary malnutrition, secondary secondary syphilis ocular disorder acquired thrombocytopenia secondary hypertension osteoporosis, postmenopausal osteoporotic fractures anemia of chronic disease dentin, secondary syphilis, secondary disorder of eye"
differential diagnosis of breakthrough vaginal bleeding while on estrogen and progesterone therapy,"differential diagnosis , breakthrough , vaginal bleeding , estrogen , progesterone therapy ","progesterone therapy estrogen breakthrough differential diagnosis vaginal bleeding progestogen hormone therapy oestrogen replacement therapy replacement, estrogen oestrogen therapy hrt contraception procedure discussion about vaginal bleeding estrogen replacements hormone replacement therapy contraceptive methods interventional procedure oestrogen, nos estrogens phytoestrogen estrogens, sex hormones and modulators of the genital system estrogens, endocrine therapy drugs phytoestrogens progestins estrogen [epc] disposition low reading comprehension correct raw moderate normal irregular unexplained estrogen (disposition low exposure differential quality correct (qualifier moderate (severity modifier moderation diagnosis, differential airway resistance test differential diagnosis:finding:point in time:^patient:nominal metrorrhagia breakthrough bleeding infection abnormal bleeding vaccine infection vaginal hemorrhage non-menstrual vaginal bleeding rectal bleeding pre-pubertal vaginal bleeding vaginal bleeding during pregnancy spotting bleeding tendency infection following immunization rectal hemorrhage "
"use of trental for neuropathy, does it work?trental , neuropathy ",,"trental neuropathy pentoxyphylline pentoxifylline cranial nerve disease disease, facial nerve hereditary sensory autonomic neuropathy, type 1 intestinal pseudoobstruction nerve compression syndrome disorder of the optic nerve peripheral neuropathy tangier disease unspecified idiopathic peripheral neuropathy alcoholic neuropathy neuropathy, sciatic sensory neuropathy polyneuropathy trigeminal nerve disorder vagus nerve disorder amyloid peripheral motor neuropathy ischemic peripheral neuropathy neuropathy, nutritional cranial nerve diseases facial nerve diseases intestinal pseudo-obstruction peripheral nervous system diseases idiopathic neuropathy sciatic neuropathy amyloidosis "
review of anemia of chronic illness,"review , anemia ,chronic illness","chronic illness review anemia chronic disease anaemia of chronic disease chronic anaemia illness, chronic anaemia, aplastic cooley's anaemia cooley's anemia haemolytic anaemia autoimmune haemolytic anaemia congenital anaemia hypochromic anaemia anemia, hypochromic macrocytic anaemia megaloblastic anaemia nos anemia, microangiopathic leukoerythroblastic anaemia neonatal anaemia, nos refractory anaemia refractory anemia sickle cell anaemia sideroblastic anaemia, nos anemia, splenic beta thalassaemia beta + thalassemia asiderotic anemia fanconi anaemia fanconi anemia favism anemia of chronic disease chronic anemia aplastic anemia beta thalassemia anemia, hemolytic autoimmune hemolytic anemia congenital anemia hypochromic anemia x-linked sideroblastic anemia anemia, macrocytic anemia, megaloblastic leukoerythroblastic anemia anemia, neonatal refractory anemias refractory anemia, without ringed sideroblasts, without excess blasts anemia, sickle cell beta plus thalassemia fanconi anemia, complementation group a (disorder review [publication type] recommended recommendation act class - review no - yes/no indicator genus anemia reported history continuous chronic illness with deterioration untreated lack of insurance carried patient condition finding anemia, ctcae did not receive therapy or drug for does carry patient physiological condition experimental finding "
"hiv and the gi tract, recent reviews","Hiv,gi tract ",hiv gi tract hiv1 human immunodeficiency virus 2 hiv-1 human immunodeficiency virus 2 (hiv-2 hiv+ hiv seropositivity hiv seronegativity hiv1+ human immunodeficiency virus 1 positive human immunodeficiency virus measurement aids serodiagnosis measurement microbiology tests gastrin measurement microbiology procedure gastrointestinal tract structure gastrointestinal system 
